user_genome	is_ani_classification	class_tree_mapped	classification_rule
STP294.12602_R.bin.22	False	3	Rule 2
STP294.12602_R.bin.23	False	3	Rule 2
STP294.12602_R.bin.25	False	3	Rule 2
STP294.12602_R.bin.26	False	8	Rule 2
STP294.12602_R.bin.28	False	2	Rule 2
STP294.12602_R.bin.29	False	7	Rule 2
STP294.12602_R.bin.3	False	3	Rule 2
STP294.12602_R.bin.30	False	3	Rule 2
STP294.12602_R.bin.31	False	3	Rule 2
STP294.12602_R.bin.35	False	2	Rule 2
STP294.12602_R.bin.36	False	8	Rule 2
STP294.12602_R.bin.37	False	7	Rule 2
STP294.12602_R.bin.38	False	backbone	Rule 1
STP294.12602_R.bin.39	False	3	Rule 2
STP294.12602_R.bin.4	False	3	Rule 2
STP294.12602_R.bin.40	False	2	Rule 2
STP294.12602_R.bin.41	False	2	Rule 2
STP294.12602_R.bin.43	False	2	Rule 2
STP294.12602_R.bin.45	False	2	Rule 2
STP294.12602_R.bin.46	False	2	Rule 2
STP294.12602_R.bin.48	False	2	Rule 2
STP294.12602_R.bin.49	False	2	Rule 2
STP294.12602_R.bin.5	False	2	Rule 2
STP294.12602_R.bin.50	False	4	Rule 2
STP294.12602_R.bin.51	False	3	Rule 2
STP294.12602_R.bin.52	False	2	Rule 2
STP294.12602_R.bin.54	False	2	Rule 2
STP294.12602_R.bin.55	False	3	Rule 2
STP294.12602_R.bin.58	False	2	Rule 2
STP294.12602_R.bin.60	False	8	Rule 2
STP294.12602_R.bin.61	False	3	Rule 2
STP294.12602_R.bin.62	False	5	Rule 2
STP294.12602_R.bin.63	False	2	Rule 2
STP294.12602_R.bin.64	False	3	Rule 2
STP294.12602_R.bin.65	False	2	Rule 2
STP294.12602_R.bin.66	False	3	Rule 2
STP294.12602_R.bin.68	False	1	Rule 2
STP294.12602_R.bin.70	False	2	Rule 2
STP294.12602_R.bin.71	False	3	Rule 2
STP294.12602_R.bin.72	False	6	Rule 2
STP294.12602_R.bin.73	False	2	Rule 2
STP294.12602_R.bin.74	False	3	Rule 2
STP294.12602_R.bin.76	False	2	Rule 2
STP294.12602_R.bin.79	False	2	Rule 2
STP294.12602_R.bin.8	False	3	Rule 2
STP294.12602_R.bin.80	False	2	Rule 2
STP294.12602_R.bin.83	False	2	Rule 2
STP294.12602_R.bin.84	False	2	Rule 2
STP294.12602_R.bin.85	False	2	Rule 2
STP294.12602_R.bin.86	False	2	Rule 2
STP294.12602_R.bin.88	False	3	Rule 2
STP294.12602_R.bin.89	False	3	Rule 2
STP294.12602_R.bin.9	False	2	Rule 2
STP294.12602_R.bin.90	False	2	Rule 2
STP294.12602_R.bin.91	False	2	Rule 2
STP294.12602_R.bin.92	False	6	Rule 2
STP294.12602_R.bin.93	False	3	Rule 2
STP294.12602_R.bin.94	False	2	Rule 2
STP294.12602_R.bin.95	False	8	Rule 2
STP294.12602_R.bin.96	False	3	Rule 2
STP294.12602_R.bin.97	False	2	Rule 2
STP294.12602_R.bin.98	False	2	Rule 2
STP294.12602_R.bin.99	False	3	Rule 2
STP51B.12603_R.bin.100	False	2	Rule 2
STP51B.12603_R.bin.101	False	2	Rule 2
STP51B.12603_R.bin.102	False	3	Rule 2
STP51B.12603_R.bin.103	False	3	Rule 2
STP51B.12603_R.bin.104	False	3	Rule 2
STP51B.12603_R.bin.105	True	1	Rule 7
STP51B.12603_R.bin.106	False	3	Rule 2
STP51B.12603_R.bin.107	False	3	Rule 2
STP51B.12603_R.bin.109	False	8	Rule 2
STP51B.12603_R.bin.11	False	3	Rule 2
STP51B.12603_R.bin.111	False	2	Rule 2
STP51B.12603_R.bin.112	False	3	Rule 2
STP51B.12603_R.bin.113	False	2	Rule 2
STP51B.12603_R.bin.114	False	2	Rule 2
STP51B.12603_R.bin.115	False	3	Rule 2
STP51B.12603_R.bin.117	False	3	Rule 2
STP51B.12603_R.bin.118	False	3	Rule 2
STP51B.12603_R.bin.120	False	3	Rule 2
STP51B.12603_R.bin.123	False	2	Rule 2
STP51B.12603_R.bin.124	False	4	Rule 2
STP51B.12603_R.bin.128	False	3	Rule 2
STP51B.12603_R.bin.129	False	3	Rule 2
STP51B.12603_R.bin.131	False	3	Rule 2
STP51B.12603_R.bin.132	False	3	Rule 2
STP51B.12603_R.bin.134	False	3	Rule 2
STP51B.12603_R.bin.135	False	3	Rule 2
STP51B.12603_R.bin.136	False	3	Rule 2
STP51B.12603_R.bin.137	False	3	Rule 2
STP51B.12603_R.bin.138	False	2	Rule 2
STP51B.12603_R.bin.139	False	2	Rule 2
STP51B.12603_R.bin.140	False	2	Rule 2
STP51B.12603_R.bin.141	False	5	Rule 2
STP51B.12603_R.bin.144	False	2	Rule 2
STP51B.12603_R.bin.145	False	7	Rule 2
STP51B.12603_R.bin.146	False	2	Rule 2
STP51B.12603_R.bin.147	False	2	Rule 2
STP51B.12603_R.bin.148	False	3	Rule 2
STP51B.12603_R.bin.149	False	2	Rule 2
STP51B.12603_R.bin.150	False	3	Rule 2
STP51B.12603_R.bin.151	False	3	Rule 2
STP51B.12603_R.bin.153	False	3	Rule 2
STP51B.12603_R.bin.154	False	2	Rule 2
STP51B.12603_R.bin.156	False	5	Rule 2
STP51B.12603_R.bin.157	False	3	Rule 2
STP51B.12603_R.bin.158	False	3	Rule 2
STP51B.12603_R.bin.159	False	2	Rule 2
STP51B.12603_R.bin.16	False	2	Rule 2
STP51B.12603_R.bin.160	False	3	Rule 2
STP51B.12603_R.bin.161	False	3	Rule 2
STP51B.12603_R.bin.162	False	3	Rule 2
STP51B.12603_R.bin.166	False	3	Rule 2
STP51B.12603_R.bin.167	False	3	Rule 2
STP51B.12603_R.bin.168	False	3	Rule 2
STP51B.12603_R.bin.169	False	2	Rule 2
STP51B.12603_R.bin.19	False	2	Rule 2
STP51B.12603_R.bin.2	False	3	Rule 2
STP51B.12603_R.bin.21	False	3	Rule 2
STP51B.12603_R.bin.22	False	3	Rule 2
STP51B.12603_R.bin.23	False	1	Rule 2
STP51B.12603_R.bin.24	False	2	Rule 2
STP51B.12603_R.bin.25	False	1	Rule 2
STP51B.12603_R.bin.26	False	3	Rule 2
STP51B.12603_R.bin.27	False	3	Rule 2
STP51B.12603_R.bin.28	False	2	Rule 2
